id;y
PHB47/PHZ51;181.1658845
PHG29/PHG47;170.1594463
PHG47/LH244;184.1228054
PHJ40/PHAJ0;95.49293157
PHJ89/LH244;212.6035166
PHJ90/LH244;197.4456521
PHK56/LH244;201.9203476
PHN11/LH244;180.3808267
PHN11_LH145_0005/LH244;173.6650506
PHN11_LH145_0028/LH244;159.7999439
PHN11_LH145_0085/LH244;168.2918911
PHN11_OH43_0075/LH244;183.5223263
PHN11_OH43_0088/LH244;202.2406478
PHN11_PHG47_0251/LH244;189.0351804
PHN11_PHG47_0287/LH244;181.5211929
PHN11_PHW65_0312/LH244;172.6226299
PHN11_PHW65_0323/LH244;207.8680172
PHN11_PHW65_0359/LH244;190.1947347
PHP02/LH244;221.2293677
PHP55/LH244;228.0257376
PHR03/LH244;215.313173
PHRE1/PHTD5;150.6595445
PHW30/LH244;199.6997411
PHW30_MO17-129-(2N)-01/LH244;210.2200788
PHW30_MO17-234-(2N)-02/LH244;217.9416406
PHW52/PHM49;207.8719803
PHW65_MOG_0176/LH244;157.2341711
PHW65_MOG_0271/LH244;186.9449386
TX777/LH195;184.553905
W10001_0003/LH244;145.8643033
W10001_0007/LH244;109.152594
W10001_0009/LH244;83.41414741
W10001_0017/LH244;200.9106502
W10001_0021/LH244;101.5643929
W10001_0022/LH244;168.989316
W10001_0040/LH244;149.7690746
W10005_0029/LH244;212.2599797
W10005_0111/LH244;169.6023145
W10005_0220/LH244;177.2011963
W10010_0118/LH244;204.3296213
W10010_0124/LH244;254.7336186
W10010_0148/LH244;190.0157381
W10010_0170/LH244;202.6430674
W10010_0189/LH244;149.7044731
W10010_0294/LH244;217.4288379
W10010_0337/LH244;142.7786908
W10010_0358/LH244;229.686882
